#burst	Time	Periodo Hlp(ms)	Periodo Hpd(ms)	Intervalo HlpFSlp(ms)	Intervalo HlpLSlp(ms)	Intervalo HpdFSpd(ms)	Intervalo HpdLSpd(ms)	Intervalo FSlpHlp(ms)	Intervalo LSlpHlp(ms)	Intervalo FSpdHpd(ms)	Intervalo LSpdHpd(ms)	Intervalo HlpHpd(ms)	Intervalo HpdHlp(ms)	Intervalo FSlpHpd(ms)	Intervalo LSlpHpd(ms)	Intervalo FSpdHlp(ms)	Intervalo LSpdHlp(ms)	Intervalo HlpFSpd(ms)	Intervalo HlpLSpd(ms)	Intervalo HpdFSlp(ms)	Intervalo HpdLSlp(ms)	t1LP	fst2fstLP	LPPD1spkperiod
32	616993.6	920.9000000000001	927.5	137.4	295.0	661.5	780.5	783.5	625.9000000000001	255.4	140.70000000000002	147.70000000000002	773.2	937.8000000000001	780.2	1028.6000000000001	913.9000000000001	809.2	928.2	891.8000000000001	1059.0	617129.9092	902.000013	671.60001
33	617914.5	836.6	846.5	118.60000000000001	285.8	571.3000000000001	689.0	718.0	550.8000000000001	266.0	147.0	154.3	682.3000000000001	882.2	715.0	948.3000000000001	829.3000000000001	725.6	843.3000000000001	805.7	982.4000000000001	618031.9092	841.600013	606.900009
34	618751.1	879.3000000000001	890.8000000000001	123.4	300.1	605.6	725.7	755.9000000000001	579.2	275.2	157.5	164.20000000000002	715.1	931.6	754.9000000000001	990.3000000000001	872.6	769.8000000000001	889.9000000000001	830.2	1014.5	618873.5092	870.900013	646.20001
35	619630.4	701.6	736.5	115.10000000000001	299.40000000000003	413.20000000000005	529.0	586.5	402.20000000000005	285.2	165.10000000000002	175.70000000000002	525.9	797.1	612.8000000000001	811.1	691.0	588.9	704.7	625.9000000000001	795.5	619744.4092	686.50001	473.700007
36	620332.0	659.0	608.1	100.0	269.6	340.3	460.20000000000005	559.0	389.40000000000003	323.3	207.5	210.60000000000002	448.40000000000003	718.7	549.1	771.7	655.9000000000001	550.9	670.8000000000001	549.4	732.3000000000001	620430.9092	660.00001	450.800007
37	620991.0	798.6	807.5	101.0	283.90000000000003	523.0	641.9000000000001	697.6	514.7	267.8	147.9	159.70000000000002	638.9000000000001	866.2	683.3000000000001	906.7	786.8000000000001	682.7	801.6	759.5	918.3000000000001	621090.9093	818.300012	581.500009
38	621789.6	1003.2	992.3000000000001	120.60000000000001	279.40000000000003	716.3000000000001	838.6	882.6	723.8000000000001	284.5	165.60000000000002	168.60000000000002	834.6	1040.3	881.5	1119.1000000000001	1000.2	884.9000000000001	1007.2	981.9000000000001	1134.0	621909.2093	1029.800016	764.000012
39	622792.8	1017.6	1048.3	147.3	299.40000000000003	745.6	866.7	870.3000000000001	718.2	276.0	153.70000000000002	157.70000000000002	859.9000000000001	1058.7	906.6	1135.9	1013.6	903.3000000000001	1024.4	1002.3000000000001	1181.9	622939.0093	1012.700015	755.800011
40	623810.4	1006.5	1012.9000000000001	142.4	322.0	702.7	826.5	864.1	684.5	302.7	181.60000000000002	188.4	818.1	1058.9	879.3000000000001	1120.8	999.7	891.1	1014.9000000000001	964.1	1140.8	623951.7093	1010.100015	748.500011
41	624816.9	1070.8	1041.1000000000001	146.0	322.70000000000005	781.2	897.9000000000001	924.8000000000001	748.1	310.20000000000005	186.4	194.8	876.0	1089.9	913.2	1186.2	1062.4	976.0	1092.7	1033.1000000000001	1207.2	624961.8093	1081.800016	829.700012
